,pull request number,pull request merged,commit date,success,not run,breaks build,breaks test-suite,breaks doc,broken plugins nb,broken libraries nb
55ea036,10430,True,2019-07-22T12:52:24Z,True,False,False,False,False,0,0
64e66fd,10429,True,2019-06-26T10:38:27Z,True,,,,,,
3451777,10429,True,2019-06-24T18:20:34Z,True,,,,,,
fb7cf36,10429,True,2019-06-25T08:33:36Z,True,,,,,,
34ef770,10428,True,2019-06-24T14:27:46Z,True,,,,,,
8948a20,10427,True,2019-06-25T15:52:00Z,False,False,False,False,False,1,0
98f69b4,10427,True,2019-06-24T14:05:55Z,False,False,False,False,False,1,0
7c16a75,10427,True,2019-06-24T19:34:33Z,True,,,,,,
f60c131,10427,True,2019-06-24T19:02:00Z,True,,,,,,
d0c17ae,10426,False,2019-06-24T11:15:05Z,True,,,,,,
cc93f41,10424,True,2019-07-02T04:55:12Z,True,,,,,,
827b2c1,10424,True,2019-06-23T23:04:01Z,False,False,False,False,True,0,0
28394d5,10424,True,2019-06-24T16:43:43Z,False,False,False,False,True,1,0
ce2b6a1,10424,True,2019-06-25T18:10:14Z,False,False,False,False,False,1,0
1a35827,10422,False,2019-06-23T21:50:14Z,False,False,False,True,False,2,1
6256757,10419,True,2019-07-02T14:12:16Z,False,True,False,False,False,0,0
93f6fd7,10419,True,2019-06-21T19:11:09Z,False,False,True,False,False,0,0
664f231,10419,True,2019-06-21T19:18:19Z,False,False,True,False,False,0,0
ae970d1,10419,True,2019-06-21T19:25:01Z,False,False,True,False,False,0,0
5c5de61,10419,True,2019-06-21T19:47:44Z,False,False,True,False,False,0,0
c5e32b5,10419,True,2019-06-21T19:53:39Z,False,False,True,False,False,0,0
fa6ccd5,10419,True,2019-06-21T20:06:49Z,False,True,False,False,False,0,0
5b34e72,10419,True,2019-06-21T20:07:27Z,False,False,False,True,False,5,0
7ac4baf,10419,True,2019-06-25T01:45:19Z,False,True,False,False,False,0,0
89e1d95,10419,True,2019-06-25T01:47:35Z,False,False,True,False,False,0,0
a0f773c,10419,True,2019-06-25T02:02:18Z,False,False,False,True,False,5,0
5c0729d,10419,True,2019-06-25T15:59:44Z,False,False,False,False,False,0,0
cbe628a,10419,True,2019-06-25T16:43:54Z,False,False,False,True,False,5,0
5b18bbf,10419,True,2019-06-25T23:00:32Z,False,False,False,False,False,5,0
0ac0d82,10419,True,2019-06-25T23:38:01Z,False,False,False,False,False,5,0
bfb337c,10419,True,2019-06-26T04:42:41Z,False,False,False,False,False,5,0
aa08024,10419,True,2019-06-26T10:09:43Z,True,,,,,,
1188d7a,10419,True,2019-06-27T10:30:11Z,True,,,,,,
413c4df,10419,True,2019-06-29T10:25:41Z,False,False,True,False,False,0,0
f3540b7,10419,True,2019-06-29T10:32:10Z,False,True,False,False,False,0,0
615c7c1,10419,True,2019-07-01T17:36:08Z,False,False,False,False,False,0,1
3393799,10416,True,2019-06-21T12:11:41Z,True,,,,,,
972bb96,10416,True,2019-06-21T10:16:56Z,True,,,,,,
c3e27d6,10415,False,2019-06-21T10:00:06Z,True,,,,,,
5a9a35e,10414,True,2019-06-20T22:49:20Z,False,False,False,False,False,0,1
f00526e,10412,True,2019-06-20T21:04:04Z,True,,,,,,
b4a4027,10412,True,2019-06-20T18:55:43Z,False,False,False,True,False,0,0
b883efe,10408,True,2019-06-20T09:43:01Z,True,,,,,,
b3bfb59,10406,True,2019-06-24T09:11:33Z,True,,,,,,
24f3ad5,10406,True,2019-06-20T07:39:48Z,False,False,True,False,False,0,0
ded792d,10406,True,2019-06-20T19:26:50Z,False,False,True,False,False,0,0
c265a0d,10406,True,2019-06-20T22:18:24Z,False,False,True,False,False,0,0
571f874,10406,True,2019-06-21T08:38:32Z,False,False,False,True,False,2,0
fd8e96b,10406,True,2019-06-21T18:01:39Z,False,False,False,True,False,2,0
a3549be,10401,True,2019-06-24T11:14:45Z,True,,,,,,
6102d13,10401,True,2019-06-19T12:44:29Z,False,False,False,True,False,0,0
ca1a6a0,10401,True,2019-06-20T12:27:48Z,False,False,False,True,False,0,0
9b1199d,10401,True,2019-06-21T12:54:54Z,False,False,False,True,False,0,0
2e3846b,10401,True,2019-06-21T14:13:06Z,False,False,False,True,False,0,0
c60bf14,10401,True,2019-06-21T18:49:44Z,False,False,False,True,False,0,0
d4f9e3a,10401,True,2019-06-21T20:39:45Z,False,False,False,True,False,0,0
ce40fd4,10401,True,2019-06-21T21:44:00Z,False,True,False,False,False,0,0
5d315bb,10401,True,2019-06-21T21:44:54Z,False,False,False,True,False,0,0
f5ad35a,10401,True,2019-06-22T08:39:18Z,False,False,False,True,False,0,0
07c05e1,10401,True,2019-06-22T10:49:48Z,False,False,False,True,False,0,0
497dc48,10401,True,2019-06-22T14:32:54Z,True,False,False,False,False,0,0
38286da,10401,True,2019-06-22T14:47:36Z,True,,,,,,
072d597,10398,True,2019-06-18T14:33:33Z,False,False,False,False,False,1,0
0864aa5,10395,False,2019-06-26T16:13:09Z,True,False,False,False,False,0,0
ced85db,10395,False,2019-06-18T00:56:35Z,False,False,False,True,False,7,2
5702666,10395,False,2019-06-25T01:03:54Z,False,False,False,True,False,5,2
7213412,10395,False,2019-06-26T09:57:48Z,False,False,False,True,False,0,2
71ea3ca,10394,True,2019-06-19T11:27:37Z,False,False,False,False,False,0,1
c310e20,10394,True,2019-06-17T18:57:02Z,False,False,False,False,False,0,0
2850a69,10394,True,2019-06-18T08:22:39Z,False,False,False,False,False,1,0
ebfe0ad,10394,True,2019-06-18T19:26:53Z,True,,,,,,
bea5ecf,10394,True,2019-06-19T09:29:33Z,False,True,False,False,False,0,0
8a38cc8,10394,True,2019-06-19T09:32:51Z,False,False,False,False,False,0,0
f53a5e3,10392,True,2019-06-17T16:17:42Z,True,,,,,,
1a90a6b,10390,False,2019-08-13T12:10:17Z,False,False,False,False,False,4,0
